Tempo do vetor aleatorio tamanho 16: 2761
Tempo do vetor aleatorio tamanho 32: 3438
Tempo do vetor aleatorio tamanho 64: 7886
Tempo do vetor aleatorio tamanho 128: 16043
Tempo do vetor aleatorio tamanho 256: 33294
Tempo do vetor aleatorio tamanho 512: 75211
Tempo do vetor aleatorio tamanho 1024: 186557
Tempo do vetor aleatorio tamanho 2048: 477554
Tempo do vetor aleatorio tamanho 4096: 1278453
Tempo do vetor aleatorio tamanho 8192: 4144242
Tempo do vetor aleatorio tamanho 16384: 18189873
Tempo do vetor Crescente tamanho 16: 1840
Tempo do vetor Crescente tamanho 32: 3284
Tempo do vetor Crescente tamanho 64: 6768
Tempo do vetor Crescente tamanho 128: 13027
Tempo do vetor Crescente tamanho 256: 26564
Tempo do vetor Crescente tamanho 512: 59916
Tempo do vetor Crescente tamanho 1024: 144530
Tempo do vetor Crescente tamanho 2048: 368955
Tempo do vetor Crescente tamanho 4096: 1095195
Tempo do vetor Crescente tamanho 8192: 3812048
Tempo do vetor Crescente tamanho 16384: 17545434
Tempo do vetor Crescente P10 tamanho 16: 1732
Tempo do vetor Crescente P10 tamanho 32: 3328
Tempo do vetor Crescente P10 tamanho 64: 6776
Tempo do vetor Crescente P10 tamanho 128: 12591
Tempo do vetor Crescente P10 tamanho 256: 30350
Tempo do vetor Crescente P10 tamanho 512: 65121
Tempo do vetor Crescente P10 tamanho 1024: 150315
Tempo do vetor Crescente P10 tamanho 2048: 367101
Tempo do vetor Crescente P10 tamanho 4096: 1105073
Tempo do vetor Crescente P10 tamanho 8192: 3896594
Tempo do vetor Crescente P10 tamanho 16384: 17300648
Tempo do vetor Crescente P20 tamanho 16: 1789
Tempo do vetor Crescente P20 tamanho 32: 3337
Tempo do vetor Crescente P20 tamanho 64: 6866
Tempo do vetor Crescente P20 tamanho 128: 12755
Tempo do vetor Crescente P20 tamanho 256: 29327
Tempo do vetor Crescente P20 tamanho 512: 63476
Tempo do vetor Crescente P20 tamanho 1024: 148528
Tempo do vetor Crescente P20 tamanho 2048: 367361
Tempo do vetor Crescente P20 tamanho 4096: 1072801
Tempo do vetor Crescente P20 tamanho 8192: 3846028
Tempo do vetor Crescente P20 tamanho 16384: 17413999
Tempo do vetor Crescente P30 tamanho 16: 2042
Tempo do vetor Crescente P30 tamanho 32: 3304
Tempo do vetor Crescente P30 tamanho 64: 6831
Tempo do vetor Crescente P30 tamanho 128: 14759
Tempo do vetor Crescente P30 tamanho 256: 28846
Tempo do vetor Crescente P30 tamanho 512: 62768
Tempo do vetor Crescente P30 tamanho 1024: 147870
Tempo do vetor Crescente P30 tamanho 2048: 362086
Tempo do vetor Crescente P30 tamanho 4096: 1072534
Tempo do vetor Crescente P30 tamanho 8192: 3822915
Tempo do vetor Crescente P30 tamanho 16384: 17393637
Tempo do vetor Crescente P40 tamanho 16: 1951
Tempo do vetor Crescente P40 tamanho 32: 3272
Tempo do vetor Crescente P40 tamanho 64: 6625
Tempo do vetor Crescente P40 tamanho 128: 12620
Tempo do vetor Crescente P40 tamanho 256: 28417
Tempo do vetor Crescente P40 tamanho 512: 66034
Tempo do vetor Crescente P40 tamanho 1024: 151603
Tempo do vetor Crescente P40 tamanho 2048: 366825
Tempo do vetor Crescente P40 tamanho 4096: 1077138
Tempo do vetor Crescente P40 tamanho 8192: 3950780
Tempo do vetor Crescente P40 tamanho 16384: 17461202
Tempo do vetor Crescente P50 tamanho 16: 1850
Tempo do vetor Crescente P50 tamanho 32: 3506
Tempo do vetor Crescente P50 tamanho 64: 6465
Tempo do vetor Crescente P50 tamanho 128: 12959
Tempo do vetor Crescente P50 tamanho 256: 28681
Tempo do vetor Crescente P50 tamanho 512: 62483
Tempo do vetor Crescente P50 tamanho 1024: 146989
Tempo do vetor Crescente P50 tamanho 2048: 365252
Tempo do vetor Crescente P50 tamanho 4096: 1076419
Tempo do vetor Crescente P50 tamanho 8192: 3951343
Tempo do vetor Crescente P50 tamanho 16384: 17351729
Tempo do vetor Decrescente tamanho 16: 1969
Tempo do vetor Decrescente tamanho 32: 3171
Tempo do vetor Decrescente tamanho 64: 6247
Tempo do vetor Decrescente tamanho 128: 12520
Tempo do vetor Decrescente tamanho 256: 27287
Tempo do vetor Decrescente tamanho 512: 83363
Tempo do vetor Decrescente tamanho 1024: 145250
Tempo do vetor Decrescente tamanho 2048: 369093
Tempo do vetor Decrescente tamanho 4096: 1066356
Tempo do vetor Decrescente tamanho 8192: 3968570
Tempo do vetor Decrescente tamanho 16384: 17262377
Tempo do vetor Decrescente P10 tamanho 16: 1915
Tempo do vetor Decrescente P10 tamanho 32: 3234
Tempo do vetor Decrescente P10 tamanho 64: 6637
Tempo do vetor Decrescente P10 tamanho 128: 12565
Tempo do vetor Decrescente P10 tamanho 256: 33715
Tempo do vetor Decrescente P10 tamanho 512: 62647
Tempo do vetor Decrescente P10 tamanho 1024: 157201
Tempo do vetor Decrescente P10 tamanho 2048: 363791
Tempo do vetor Decrescente P10 tamanho 4096: 1069486
Tempo do vetor Decrescente P10 tamanho 8192: 3941973
Tempo do vetor Decrescente P10 tamanho 16384: 17409501
Tempo do vetor Decrescente P20 tamanho 16: 2093
Tempo do vetor Decrescente P20 tamanho 32: 3162
Tempo do vetor Decrescente P20 tamanho 64: 6737
Tempo do vetor Decrescente P20 tamanho 128: 12671
Tempo do vetor Decrescente P20 tamanho 256: 34914
Tempo do vetor Decrescente P20 tamanho 512: 62345
Tempo do vetor Decrescente P20 tamanho 1024: 151220
Tempo do vetor Decrescente P20 tamanho 2048: 373987
Tempo do vetor Decrescente P20 tamanho 4096: 1082704
Tempo do vetor Decrescente P20 tamanho 8192: 3849662
Tempo do vetor Decrescente P20 tamanho 16384: 17495764
Tempo do vetor Decrescente P30 tamanho 16: 2072
Tempo do vetor Decrescente P30 tamanho 32: 3361
Tempo do vetor Decrescente P30 tamanho 64: 6522
Tempo do vetor Decrescente P30 tamanho 128: 12645
Tempo do vetor Decrescente P30 tamanho 256: 28527
Tempo do vetor Decrescente P30 tamanho 512: 62502
Tempo do vetor Decrescente P30 tamanho 1024: 169367
Tempo do vetor Decrescente P30 tamanho 2048: 365185
Tempo do vetor Decrescente P30 tamanho 4096: 1076239
Tempo do vetor Decrescente P30 tamanho 8192: 3899494
Tempo do vetor Decrescente P30 tamanho 16384: 17188399
Tempo do vetor Decrescente P40 tamanho 16: 2161
Tempo do vetor Decrescente P40 tamanho 32: 3295
Tempo do vetor Decrescente P40 tamanho 64: 6402
Tempo do vetor Decrescente P40 tamanho 128: 13101
Tempo do vetor Decrescente P40 tamanho 256: 27715
Tempo do vetor Decrescente P40 tamanho 512: 62184
Tempo do vetor Decrescente P40 tamanho 1024: 147490
Tempo do vetor Decrescente P40 tamanho 2048: 367866
Tempo do vetor Decrescente P40 tamanho 4096: 1080496
Tempo do vetor Decrescente P40 tamanho 8192: 3878299
Tempo do vetor Decrescente P40 tamanho 16384: 17404245
Tempo do vetor Decrescente P50 tamanho 16: 2166
Tempo do vetor Decrescente P50 tamanho 32: 3258
Tempo do vetor Decrescente P50 tamanho 64: 6530
Tempo do vetor Decrescente P50 tamanho 128: 12686
Tempo do vetor Decrescente P50 tamanho 256: 28095
Tempo do vetor Decrescente P50 tamanho 512: 65430
Tempo do vetor Decrescente P50 tamanho 1024: 151006
Tempo do vetor Decrescente P50 tamanho 2048: 365972
Tempo do vetor Decrescente P50 tamanho 4096: 1070690
Tempo do vetor Decrescente P50 tamanho 8192: 3858348
Tempo do vetor Decrescente P50 tamanho 16384: 17428128

