Tempo do vetor aleatorio tamanho 16: 925
Tempo do vetor aleatorio tamanho 32: 1077
Tempo do vetor aleatorio tamanho 64: 2100
Tempo do vetor aleatorio tamanho 128: 4491
Tempo do vetor aleatorio tamanho 256: 10525
Tempo do vetor aleatorio tamanho 512: 23829
Tempo do vetor aleatorio tamanho 1024: 62993
Tempo do vetor aleatorio tamanho 2048: 125500
Tempo do vetor aleatorio tamanho 4096: 278666
Tempo do vetor aleatorio tamanho 8192: 576399
Tempo do vetor aleatorio tamanho 16384: 1261602
Tempo do vetor Crescente tamanho 16: 706
Tempo do vetor Crescente tamanho 32: 954
Tempo do vetor Crescente tamanho 64: 1363
Tempo do vetor Crescente tamanho 128: 2163
Tempo do vetor Crescente tamanho 256: 3711
Tempo do vetor Crescente tamanho 512: 7086
Tempo do vetor Crescente tamanho 1024: 13945
Tempo do vetor Crescente tamanho 2048: 28288
Tempo do vetor Crescente tamanho 4096: 61831
Tempo do vetor Crescente tamanho 8192: 127886
Tempo do vetor Crescente tamanho 16384: 299130
Tempo do vetor Crescente P10 tamanho 16: 574
Tempo do vetor Crescente P10 tamanho 32: 829
Tempo do vetor Crescente P10 tamanho 64: 1158
Tempo do vetor Crescente P10 tamanho 128: 2138
Tempo do vetor Crescente P10 tamanho 256: 3617
Tempo do vetor Crescente P10 tamanho 512: 6888
Tempo do vetor Crescente P10 tamanho 1024: 13829
Tempo do vetor Crescente P10 tamanho 2048: 28293
Tempo do vetor Crescente P10 tamanho 4096: 60946
Tempo do vetor Crescente P10 tamanho 8192: 131339
Tempo do vetor Crescente P10 tamanho 16384: 269900
Tempo do vetor Crescente P20 tamanho 16: 685
Tempo do vetor Crescente P20 tamanho 32: 807
Tempo do vetor Crescente P20 tamanho 64: 1334
Tempo do vetor Crescente P20 tamanho 128: 2136
Tempo do vetor Crescente P20 tamanho 256: 3568
Tempo do vetor Crescente P20 tamanho 512: 6805
Tempo do vetor Crescente P20 tamanho 1024: 13583
Tempo do vetor Crescente P20 tamanho 2048: 27666
Tempo do vetor Crescente P20 tamanho 4096: 56503
Tempo do vetor Crescente P20 tamanho 8192: 121141
