Tempo do vetor aleatorio tamanho 16: 848
Tempo do vetor aleatorio tamanho 32: 859
Tempo do vetor aleatorio tamanho 64: 1226
Tempo do vetor aleatorio tamanho 128: 2086
Tempo do vetor aleatorio tamanho 256: 3352
Tempo do vetor aleatorio tamanho 512: 4632
Tempo do vetor aleatorio tamanho 1024: 10637
Tempo do vetor aleatorio tamanho 2048: 24606
Tempo do vetor aleatorio tamanho 4096: 40615
Tempo do vetor aleatorio tamanho 8192: 88004
Tempo do vetor aleatorio tamanho 16384: 135617
Tempo do vetor Crescente tamanho 16: 563
Tempo do vetor Crescente tamanho 32: 677
Tempo do vetor Crescente tamanho 64: 1184
Tempo do vetor Crescente tamanho 128: 2093
Tempo do vetor Crescente tamanho 256: 3518
Tempo do vetor Crescente tamanho 512: 6070
Tempo do vetor Crescente tamanho 1024: 9960
Tempo do vetor Crescente tamanho 2048: 24854
Tempo do vetor Crescente tamanho 4096: 39433
Tempo do vetor Crescente tamanho 8192: 79908
Tempo do vetor Crescente tamanho 16384: 245208
Tempo do vetor Crescente P10 tamanho 16: 672
Tempo do vetor Crescente P10 tamanho 32: 843
Tempo do vetor Crescente P10 tamanho 64: 1091
Tempo do vetor Crescente P10 tamanho 128: 2310
Tempo do vetor Crescente P10 tamanho 256: 3383
Tempo do vetor Crescente P10 tamanho 512: 6038
Tempo do vetor Crescente P10 tamanho 1024: 19242
Tempo do vetor Crescente P10 tamanho 2048: 34439
Tempo do vetor Crescente P10 tamanho 4096: 46022
Tempo do vetor Crescente P10 tamanho 8192: 95304
Tempo do vetor Crescente P10 tamanho 16384: 176781
Tempo do vetor Crescente P20 tamanho 16: 613
Tempo do vetor Crescente P20 tamanho 32: 780
Tempo do vetor Crescente P20 tamanho 64: 1259
Tempo do vetor Crescente P20 tamanho 128: 1836
Tempo do vetor Crescente P20 tamanho 256: 2640
Tempo do vetor Crescente P20 tamanho 512: 9910
Tempo do vetor Crescente P20 tamanho 1024: 11045
Tempo do vetor Crescente P20 tamanho 2048: 19416
Tempo do vetor Crescente P20 tamanho 4096: 46564
Tempo do vetor Crescente P20 tamanho 8192: 86621
Tempo do vetor Crescente P20 tamanho 16384: 198014
Tempo do vetor Crescente P30 tamanho 16: 651
Tempo do vetor Crescente P30 tamanho 32: 698
Tempo do vetor Crescente P30 tamanho 64: 1008
Tempo do vetor Crescente P30 tamanho 128: 2052
Tempo do vetor Crescente P30 tamanho 256: 3051
Tempo do vetor Crescente P30 tamanho 512: 6192
Tempo do vetor Crescente P30 tamanho 1024: 10526
Tempo do vetor Crescente P30 tamanho 2048: 17150
Tempo do vetor Crescente P30 tamanho 4096: 45699
Tempo do vetor Crescente P30 tamanho 8192: 76166
Tempo do vetor Crescente P30 tamanho 16384: 155111
Tempo do vetor Crescente P40 tamanho 16: 743
Tempo do vetor Crescente P40 tamanho 32: 666
Tempo do vetor Crescente P40 tamanho 64: 989
Tempo do vetor Crescente P40 tamanho 128: 1508
Tempo do vetor Crescente P40 tamanho 256: 2883
Tempo do vetor Crescente P40 tamanho 512: 5360
Tempo do vetor Crescente P40 tamanho 1024: 11656
Tempo do vetor Crescente P40 tamanho 2048: 20539
Tempo do vetor Crescente P40 tamanho 4096: 41529
Tempo do vetor Crescente P40 tamanho 8192: 100858
Tempo do vetor Crescente P40 tamanho 16384: 222297
Tempo do vetor Crescente P50 tamanho 16: 620
Tempo do vetor Crescente P50 tamanho 32: 827
Tempo do vetor Crescente P50 tamanho 64: 1258
Tempo do vetor Crescente P50 tamanho 128: 1600
Tempo do vetor Crescente P50 tamanho 256: 3615
Tempo do vetor Crescente P50 tamanho 512: 4546
Tempo do vetor Crescente P50 tamanho 1024: 10992
Tempo do vetor Crescente P50 tamanho 2048: 24860
Tempo do vetor Crescente P50 tamanho 4096: 60197
